Date,Open,High,Low,Close,Adj Close,Volume
2022-08-12,38.400002,40.060001,38.310001,39.849998,39.658215,87000
2022-08-15,40.500000,41.509998,40.200001,41.029999,40.832539,175100
2022-08-16,40.580002,41.389999,40.410000,40.630001,40.434464,124700
2022-08-17,40.400002,40.910000,40.029999,40.630001,40.434464,127200
2022-08-18,40.369999,40.840000,40.049999,40.410000,40.215523,69600
2022-08-19,40.150002,40.680000,39.689999,40.180000,39.986629,118500
2022-08-22,39.639999,39.660000,37.930000,38.270000,38.085823,105000
2022-08-23,38.220001,39.150002,38.220001,38.770000,38.583416,71600
2022-08-24,38.509998,39.099998,38.130001,38.560001,38.374428,70100
2022-08-25,38.910000,38.910000,38.110001,38.380001,38.195293,47000
2022-08-26,38.029999,38.360001,37.430000,37.520000,37.339432,87900
2022-08-29,37.099998,37.299999,36.660000,37.009998,36.831882,64600
2022-08-30,37.130001,37.130001,36.380001,36.430000,36.254677,113600
2022-08-31,36.650002,36.869999,35.040001,35.410000,35.239586,204800
2022-09-01,35.200001,36.180000,35.070000,35.660000,35.488384,92500
2022-09-02,36.209999,36.320000,35.410000,35.680000,35.508286,70700
2022-09-06,35.950001,35.950001,34.840000,35.270000,35.100262,74500
2022-09-07,35.349998,35.669998,34.810001,35.610001,35.438625,63700
2022-09-08,35.400002,35.400002,34.639999,34.900002,34.732040,63500
2022-09-09,35.310001,35.630001,34.779999,35.450001,35.279396,54600
2022-09-12,35.639999,36.590000,35.320000,36.279999,36.105396,103200
2022-09-13,35.680000,35.950001,34.799999,35.020000,34.851463,80300
2022-09-14,35.009998,35.009998,34.090000,34.560001,34.393677,98600
2022-09-15,34.330002,34.939999,34.189999,34.410000,34.244400,81800
2022-09-16,34.119999,34.160000,32.790001,34.090000,33.925938,211900
2022-09-19,33.779999,34.320000,33.400002,33.779999,33.617428,65000
2022-09-20,33.419998,33.790001,32.500000,33.070000,32.910847,116800
2022-09-21,33.080002,33.990002,32.529999,32.650002,32.492870,93400
2022-09-22,32.570000,32.570000,31.379999,31.770000,31.617104,118500
2022-09-23,31.290001,31.290001,30.450001,30.990000,30.840857,112500
2022-09-26,30.770000,31.760000,30.770000,31.209999,31.059797,133800
2022-09-27,31.420000,32.270000,31.010000,31.580000,31.428019,154000
2022-09-28,31.870001,33.150002,31.680000,32.840000,32.681953,122600
2022-09-29,32.410000,32.410000,31.360001,32.119999,31.965418,89600
2022-09-30,32.080002,33.240002,32.040001,32.160000,32.005226,124300
2022-10-03,32.619999,33.910000,32.000000,33.570000,33.408440,107300
2022-10-04,33.740002,34.630001,33.740002,34.160000,33.995602,242900
2022-10-05,33.849998,34.320000,33.480000,33.590000,33.428345,104600
2022-10-06,33.480000,33.790001,33.150002,33.310001,33.149693,92500
2022-10-07,33.000000,33.000000,31.650000,32.230000,32.074890,95900
2022-10-10,32.060001,33.200001,32.060001,32.779999,32.622242,63800
2022-10-11,32.869999,33.230000,31.920000,32.389999,32.234119,100900
2022-10-12,32.419998,32.720001,31.740000,31.790001,31.637009,113000
2022-10-13,31.219999,32.070000,31.000000,31.490000,31.338451,161200
2022-10-14,31.700001,31.820000,30.879999,30.940001,30.791100,108600
2022-10-17,31.459999,32.000000,31.459999,31.690001,31.537489,110700
2022-10-18,32.169998,32.919998,31.980000,32.500000,32.343590,144600
2022-10-19,32.169998,32.660000,31.250000,31.469999,31.318546,86500
2022-10-20,31.570000,31.830000,30.680000,30.760000,30.611965,97000
2022-10-21,30.740000,31.030001,29.969999,30.690001,30.542301,103000
2022-10-24,31.000000,31.129999,30.400000,30.760000,30.611965,89300
2022-10-25,30.549999,31.740000,30.450001,31.469999,31.318546,61900
2022-10-26,31.660000,32.669998,31.559999,32.070000,31.915659,143200
2022-10-27,28.299999,28.370001,23.350000,23.400000,23.287384,514100
2022-10-28,23.580000,24.520000,22.709999,24.299999,24.183054,282500
2022-10-31,24.559999,24.770000,23.590000,24.410000,24.292524,177200
2022-11-01,24.719999,24.719999,23.400000,23.879999,23.765074,169700
2022-11-02,24.059999,25.120001,23.770000,24.129999,24.013870,296000
2022-11-03,24.059999,24.219999,23.309999,23.480000,23.367001,153400
2022-11-04,23.670000,24.049999,22.760000,24.000000,24.000000,182600
2022-11-07,24.010000,24.860001,23.610001,24.809999,24.809999,136900
2022-11-08,24.860001,26.600000,24.860001,26.139999,26.139999,218900
2022-11-09,25.790001,25.820000,24.400000,24.430000,24.430000,124700
2022-11-10,25.510000,26.309999,25.299999,25.959999,25.959999,107200
2022-11-11,26.010000,26.010000,25.070000,25.400000,25.400000,113900
2022-11-14,25.350000,25.650000,24.780001,24.830000,24.830000,63700
2022-11-15,25.270000,25.590000,24.879999,25.290001,25.290001,58800
2022-11-16,25.250000,25.250000,24.540001,24.740000,24.740000,109600
2022-11-17,24.540001,25.150000,24.500000,24.790001,24.790001,53900
2022-11-18,25.209999,25.209999,23.910000,24.070000,24.070000,79400
2022-11-21,24.150000,24.209999,23.410000,23.879999,23.879999,85500
2022-11-22,23.980000,24.309999,23.660000,23.950001,23.950001,54900
2022-11-23,24.030001,24.360001,23.820000,24.139999,24.139999,48900
